employee_id,sector,Gender,Age,role,Hire_Date,Years_At_Company,Education_Level,quality_score,Monthly_Salary,Work_Hours_Per_Week,Projects_Handled,Overtime_Hours,Sick_Days,Remote_Work_Frequency,Team_Size,development_score,Promotions,Employee_Satisfaction_Score,Resigned,date,output_score,performance_status,performance_drivers,employee_explanation,strengths
20425,Operations,Female,54,Consultant,2018-04-05 08:03:05.556036,6,High School,1,6050.0,52,32,8,0,0,15,77,2,4.2,False,2024-12-31,34.985422740524776,Needs Improvement,"['Lower productivity relative to workload', 'Quality score below expected level']","{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload', 'Quality score below expected level'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.', 'Focus on accuracy and seek feedback or refresher training to improve quality.'], 'strengths': ['Good attendance consistency']}",['Good attendance consistency']
88703,Operations,Female,55,Developer,2023-02-17 08:03:05.556036,1,Bachelor,5,7500.0,43,10,24,1,75,5,6,1,3.65,True,2024-12-31,11.131725417439704,Needs Improvement,['Lower productivity relative to workload'],"{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.'], 'strengths': ['Strong quality of work', 'Good attendance consistency']}","['Strong quality of work', 'Good attendance consistency']"
150,Finance,Female,55,Analyst,2021-03-19 08:03:05.556036,3,Bachelor,1,4400.0,57,17,21,12,100,6,92,0,3.0,False,2024-12-31,15.419501133786847,Needs Improvement,"['Lower productivity relative to workload', 'Quality score below expected level', 'High number of sick days affecting consistency']","{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload', 'Quality score below expected level', 'High number of sick days affecting consistency'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.', 'Focus on accuracy and seek feedback or refresher training to improve quality.', 'Discuss workload balance or wellbeing support with your manager to improve consistency.'], 'strengths': ['Maintaining baseline performance']}",['Maintaining baseline performance']
1762,Sales,Male,39,Analyst,2018-12-02 08:03:05.556036,5,Bachelor,3,5200.0,50,0,12,1,25,11,84,1,1.96,False,2024-12-31,0.0,Needs Improvement,['Lower productivity relative to workload'],"{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.'], 'strengths': ['Good attendance consistency']}",['Good attendance consistency']
63121,Sales,Male,45,Technician,2022-04-29 08:03:05.556036,2,High School,1,3850.0,41,39,17,11,0,6,47,0,1.67,False,2024-12-31,48.23747680890538,Needs Improvement,"['Lower productivity relative to workload', 'Quality score below expected level', 'High number of sick days affecting consistency']","{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload', 'Quality score below expected level', 'High number of sick days affecting consistency'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.', 'Focus on accuracy and seek feedback or refresher training to improve quality.', 'Discuss workload balance or wellbeing support with your manager to improve consistency.'], 'strengths': ['Maintaining baseline performance']}",['Maintaining baseline performance']
69162,Customer Support,Female,55,Analyst,2019-10-02 08:03:05.556036,4,PhD,4,5600.0,32,32,18,3,0,10,93,2,2.97,False,2024-12-31,47.784967645594826,Needs Improvement,['Lower productivity relative to workload'],"{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.'], 'strengths': ['Strong quality of work', 'Good attendance consistency']}","['Strong quality of work', 'Good attendance consistency']"
64884,Marketing,Female,25,Engineer,2022-12-05 08:03:05.556036,1,Master,4,8400.0,43,36,0,10,0,14,15,2,4.0,False,2024-12-31,51.25771238728049,On Track,['No major performance risk factors identified'],"{'status': 'On Track', 'summary': ""Your performance for the selected period is classified as 'On Track'."", 'drivers': ['No major performance risk factors identified'], 'recommended_actions': ['Maintain current working practices and continue consistent performance.'], 'strengths': ['Good productivity level', 'Strong quality of work']}","['Good productivity level', 'Strong quality of work']"
2496,HR,Female,45,Manager,2015-11-26 08:03:05.556036,8,Master,1,6600.0,49,25,29,10,25,19,71,1,1.32,False,2024-12-31,24.104129840912744,Needs Improvement,"['Lower productivity relative to workload', 'Quality score below expected level']","{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload', 'Quality score below expected level'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.', 'Focus on accuracy and seek feedback or refresher training to improve quality.'], 'strengths': ['Maintaining baseline performance']}",['Maintaining baseline performance']
80297,HR,Female,31,Technician,2020-03-06 08:03:05.556036,4,Bachelor,2,4200.0,43,33,13,10,75,8,63,0,4.39,False,2024-12-31,40.816326530612244,Needs Improvement,"['Lower productivity relative to workload', 'Quality score below expected level']","{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload', 'Quality score below expected level'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.', 'Focus on accuracy and seek feedback or refresher training to improve quality.'], 'strengths': ['Maintaining baseline performance']}",['Maintaining baseline performance']
19448,Finance,Female,35,Specialist,2015-09-18 08:03:05.556036,8,Bachelor,2,5400.0,56,37,1,9,0,16,73,1,2.52,False,2024-12-31,40.09391367166336,Needs Improvement,"['Lower productivity relative to workload', 'Quality score below expected level']","{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload', 'Quality score below expected level'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.', 'Focus on accuracy and seek feedback or refresher training to improve quality.'], 'strengths': ['Maintaining baseline performance']}",['Maintaining baseline performance']
41332,IT,Male,24,Manager,2018-05-03 08:03:05.556036,6,Bachelor,4,8400.0,58,6,12,7,50,19,75,2,4.34,False,2024-12-31,5.739795918367347,Needs Improvement,['Lower productivity relative to workload'],"{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.'], 'strengths': ['Strong quality of work']}",['Strong quality of work']
14889,HR,Female,43,Technician,2016-04-07 08:03:05.556036,8,Bachelor,3,4550.0,34,6,25,10,25,9,74,2,1.74,False,2024-12-31,7.899934167215273,Needs Improvement,['Lower productivity relative to workload'],"{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.'], 'strengths': ['Maintaining baseline performance']}",['Maintaining baseline performance']
88637,Legal,Female,57,Manager,2016-06-08 08:03:05.556036,8,High School,4,8400.0,52,21,25,0,0,3,37,1,1.33,False,2024-12-31,19.93355481727575,Needs Improvement,['Lower productivity relative to workload'],"{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.'], 'strengths': ['Strong quality of work', 'Good attendance consistency']}","['Strong quality of work', 'Good attendance consistency']"
94893,Operations,Female,50,Technician,2018-06-12 08:03:05.556036,6,Bachelor,2,4200.0,59,10,7,5,25,12,26,2,2.98,False,2024-12-31,9.795918367346939,Needs Improvement,"['Lower productivity relative to workload', 'Quality score below expected level']","{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload', 'Quality score below expected level'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.', 'Focus on accuracy and seek feedback or refresher training to improve quality.'], 'strengths': ['Good attendance consistency']}",['Good attendance consistency']
92732,Customer Support,Female,32,Consultant,2018-11-08 08:03:05.556036,5,Bachelor,2,6600.0,37,0,19,14,50,3,57,0,1.1,True,2024-12-31,0.0,Needs Improvement,"['Lower productivity relative to workload', 'Quality score below expected level', 'High number of sick days affecting consistency']","{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload', 'Quality score below expected level', 'High number of sick days affecting consistency'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.', 'Focus on accuracy and seek feedback or refresher training to improve quality.', 'Discuss workload balance or wellbeing support with your manager to improve consistency.'], 'strengths': ['Maintaining baseline performance']}",['Maintaining baseline performance']
29131,Legal,Female,60,Engineer,2024-05-05 08:03:05.556036,0,High School,5,9000.0,34,28,16,5,0,3,39,2,4.93,False,2024-12-31,40.816326530612244,Needs Improvement,['Lower productivity relative to workload'],"{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.'], 'strengths': ['Strong quality of work', 'Good attendance consistency']}","['Strong quality of work', 'Good attendance consistency']"
79023,Sales,Female,23,Engineer,2019-09-21 08:03:05.556036,4,Bachelor,1,6600.0,54,14,28,13,50,17,26,0,1.12,False,2024-12-31,12.605042016806722,Needs Improvement,"['Lower productivity relative to workload', 'Quality score below expected level', 'High number of sick days affecting consistency']","{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload', 'Quality score below expected level', 'High number of sick days affecting consistency'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.', 'Focus on accuracy and seek feedback or refresher training to improve quality.', 'Discuss workload balance or wellbeing support with your manager to improve consistency.'], 'strengths': ['Maintaining baseline performance']}",['Maintaining baseline performance']
84937,Operations,Female,30,Manager,2023-09-30 08:03:05.556036,0,Bachelor,5,9000.0,46,31,7,1,0,6,72,2,3.79,False,2024-12-31,38.3426097711812,Needs Improvement,['Lower productivity relative to workload'],"{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.'], 'strengths': ['Strong quality of work', 'Good attendance consistency']}","['Strong quality of work', 'Good attendance consistency']"
16822,Finance,Male,41,Consultant,2022-01-30 08:03:05.556036,2,Bachelor,4,7700.0,60,27,4,4,25,9,76,1,2.15,False,2024-12-31,26.662277814351548,Needs Improvement,['Lower productivity relative to workload'],"{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.'], 'strengths': ['Strong quality of work', 'Good attendance consistency']}","['Strong quality of work', 'Good attendance consistency']"
36734,Operations,Female,49,Consultant,2020-11-19 08:03:05.556036,3,Bachelor,4,7700.0,35,11,16,1,50,17,83,1,3.92,False,2024-12-31,15.662078785002373,Needs Improvement,['Lower productivity relative to workload'],"{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.'], 'strengths': ['Strong quality of work', 'Good attendance consistency']}","['Strong quality of work', 'Good attendance consistency']"
15603,Finance,Female,24,Analyst,2016-08-01 08:03:05.556036,8,Bachelor,2,4800.0,50,10,6,8,25,5,97,1,1.41,False,2024-12-31,11.551790527531768,Needs Improvement,"['Lower productivity relative to workload', 'Quality score below expected level']","{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload', 'Quality score below expected level'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.', 'Focus on accuracy and seek feedback or refresher training to improve quality.'], 'strengths': ['Maintaining baseline performance']}",['Maintaining baseline performance']
28534,Customer Support,Other,52,Technician,2017-07-24 08:03:05.556036,7,High School,3,4550.0,52,12,0,3,50,14,29,2,2.73,False,2024-12-31,14.128728414442701,Needs Improvement,['Lower productivity relative to workload'],"{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.'], 'strengths': ['Good attendance consistency']}",['Good attendance consistency']
69770,Finance,Male,56,Developer,2015-10-20 08:03:05.556036,8,High School,5,7500.0,45,13,28,13,25,6,0,0,1.62,False,2024-12-31,13.49014181943964,Needs Improvement,"['Lower productivity relative to workload', 'High number of sick days affecting consistency', 'Limited recent training or development activity']","{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload', 'High number of sick days affecting consistency', 'Limited recent training or development activity'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.', 'Discuss workload balance or wellbeing support with your manager to improve consistency.', 'Consider completing relevant training to strengthen skills and performance.'], 'strengths': ['Strong quality of work']}",['Strong quality of work']
11406,HR,Female,56,Consultant,2018-11-19 08:03:05.556036,5,High School,2,6600.0,51,15,23,4,0,13,70,2,4.06,False,2024-12-31,14.693877551020407,Needs Improvement,"['Lower productivity relative to workload', 'Quality score below expected level']","{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload', 'Quality score below expected level'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.', 'Focus on accuracy and seek feedback or refresher training to improve quality.'], 'strengths': ['Good attendance consistency']}",['Good attendance consistency']
96853,HR,Male,34,Developer,2015-04-11 08:03:05.556036,9,Bachelor,2,6000.0,60,30,29,9,75,12,54,1,3.93,False,2024-12-31,24.65415696479934,Needs Improvement,"['Lower productivity relative to workload', 'Quality score below expected level']","{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload', 'Quality score below expected level'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.', 'Focus on accuracy and seek feedback or refresher training to improve quality.'], 'strengths': ['Maintaining baseline performance']}",['Maintaining baseline performance']
16131,Sales,Male,44,Analyst,2014-12-22 08:03:05.556036,9,Master,2,4800.0,59,49,15,14,75,19,15,1,3.51,False,2024-12-31,45.11278195488721,Needs Improvement,"['Lower productivity relative to workload', 'Quality score below expected level', 'High number of sick days affecting consistency']","{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload', 'Quality score below expected level', 'High number of sick days affecting consistency'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.', 'Focus on accuracy and seek feedback or refresher training to improve quality.', 'Discuss workload balance or wellbeing support with your manager to improve consistency.'], 'strengths': ['Maintaining baseline performance']}",['Maintaining baseline performance']
19793,HR,Male,27,Manager,2016-11-23 08:03:05.556036,7,High School,5,9000.0,44,2,0,7,50,3,15,1,4.07,False,2024-12-31,2.782931354359926,Needs Improvement,['Lower productivity relative to workload'],"{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.'], 'strengths': ['Strong quality of work']}",['Strong quality of work']
89578,Engineering,Male,56,Consultant,2016-02-18 08:03:05.556036,8,Bachelor,5,8250.0,34,7,25,5,25,11,19,1,3.6,False,2024-12-31,9.216589861751153,Needs Improvement,['Lower productivity relative to workload'],"{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.'], 'strengths': ['Strong quality of work', 'Good attendance consistency']}","['Strong quality of work', 'Good attendance consistency']"
40164,Engineering,Male,40,Consultant,2023-02-23 08:03:05.556036,1,Master,4,7700.0,52,2,15,14,75,16,55,1,4.08,True,2024-12-31,2.057966043560281,Needs Improvement,"['Lower productivity relative to workload', 'High number of sick days affecting consistency']","{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload', 'High number of sick days affecting consistency'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.', 'Discuss workload balance or wellbeing support with your manager to improve consistency.'], 'strengths': ['Strong quality of work']}",['Strong quality of work']
31777,Customer Support,Male,36,Engineer,2024-07-26 08:03:05.556036,0,High School,5,9000.0,60,47,20,12,75,4,49,0,2.54,True,2024-12-31,41.10787172011661,Needs Improvement,"['Lower productivity relative to workload', 'High number of sick days affecting consistency']","{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload', 'High number of sick days affecting consistency'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.', 'Discuss workload balance or wellbeing support with your manager to improve consistency.'], 'strengths': ['Strong quality of work']}",['Strong quality of work']
25331,Customer Support,Female,41,Analyst,2021-03-02 08:03:05.556036,3,Bachelor,2,4800.0,56,48,19,4,0,19,91,1,3.12,False,2024-12-31,44.86680168250506,Needs Improvement,"['Lower productivity relative to workload', 'Quality score below expected level']","{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload', 'Quality score below expected level'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.', 'Focus on accuracy and seek feedback or refresher training to improve quality.'], 'strengths': ['Good attendance consistency']}",['Good attendance consistency']
79157,Sales,Male,49,Analyst,2018-10-17 08:03:05.556036,5,High School,2,4800.0,44,30,0,0,0,7,94,2,4.14,False,2024-12-31,41.74397031539888,Needs Improvement,"['Lower productivity relative to workload', 'Quality score below expected level']","{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload', 'Quality score below expected level'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.', 'Focus on accuracy and seek feedback or refresher training to improve quality.'], 'strengths': ['Good attendance consistency']}",['Good attendance consistency']
51686,Customer Support,Male,55,Manager,2019-06-12 08:03:05.556036,5,High School,3,7800.0,34,9,6,4,25,11,96,0,2.95,False,2024-12-31,14.892443463872036,Needs Improvement,['Lower productivity relative to workload'],"{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.'], 'strengths': ['Good attendance consistency']}",['Good attendance consistency']
75499,Finance,Male,36,Technician,2018-03-11 08:03:05.556036,6,Bachelor,3,4550.0,55,30,22,2,0,17,13,1,1.86,True,2024-12-31,27.829313543599255,Needs Improvement,['Lower productivity relative to workload'],"{'status': 'Needs Improvement', 'summary': ""Your performance for the selected period is classified as 'Needs Improvement'."", 'drivers': ['Lower productivity relative to workload'], 'recommended_actions': ['Review workload planning and focus on prioritising high-impact tasks.'], 'strengths': ['Good attendance consistency']}",['Good attendance consistency']
